Reviews,food,Safety and Hygiene,location,value for money,hospitality
I believe the property is not only about beautiful rooms and locations! it’s more about the service and how you are made to feel! vets mumbai staff knows this best to keep the guests happy and offer the best of customer service right from checking to breakfast to room service to in room dining to checkout! please do keep up the good work of providing the best of service!,1,2,2,2,2
Near to airport n services was all good happy to stay their can also visit with family,2,2,2,2,2
"All staff are very cooperative start from Security Reception and Room service. Salman and Zoheb at Reception, Karan and Jugal at Room service all extraordinarily active and good with tr work. Keep it up",2,2,2,2,2
"A great experience. From the moment I checked in, I knew I was in good hands. They upgraded my room for free which felt great. Post check-in, I observed the staff. They were very friendly and helpful. Everyone was nice, from the reception to the cleaning staff. They were following proper covid protocols as well. The service was awesome. The only problem I faced was there was a slight delay in-room service, but I realized that they were shot on staff due to covid and they had many customers to deal with as it was the weekend. So I didn't mind at all. Despite that, I got everything that I needed. Even ordered food from outside (Swiggy, Zomato) which they allowed, some hotels don't allow that. It was truly a 5 star experience. I hope to visit again.",2,2,2,2,2
"For a 5 star property, the room condition at itc maratha was very poor. Smell of urine and from carpets was very prominent in one room, while the other room had cigarette smell in a non smoking room. After complain the linen of the bed was changed, which raised a doubt that do they change linen after guest checks out or just dust and put the same. Ozonizer machine was used in the other room compromising on health of my kids. Overall not a good experience",1,0,2,0,0
"My room no: was 1207. In this room not working any cellular network. Am staying 4 day in this room. This is worst experience in hotel. To call and had to go in to the lobby. I spoke several times to change the room. Front desk staff told me ""sir will do sir will do"" but 1st day to 5th day morning i faced problems. Nobody changed the room. This was wasting of money and wasting of time for me",1,1,1,1,0
"We had an excellent 2 nights stay at itc, the food and service was amazing. Hygiene was maintained due to covid in dining areas. The plates, cutlery and glasses were well sanitized. 2 issues that hotel can work upon : 1. The hotel was kind of overbooked and there was waiting for all meals at their main restaurant-peshawar pavilion for breakfast and lunch. We had to wait longer to get served. Hotel should open up other options for meals. Even though there was buffet, the chefs and stewards had to serve the dishes and hence this was leading to long queues and wait at the counters. 2. Hotel should have in room entertainment of all the ott platforms, they only have set top box dish tv to watch. Netflix or amazon prime should be available as entertainment since the pool and lawn areas were not operational. Overall complete value for money, the rooms are great and spacious and hotel cleanliness and sanitation is maintained throughout. We would love to visit again",2,2,2,2,2
Location was good. The food was overpriced like 5000+ taxes per pax dinner. The package breakfast was just ordinary. Service was pathetic. Baby food took 3 has to make and that too uncooked. The mood was spoiled at the entry of the hotel when we were asked to wait for 3. 5 has to check in our room as the room was not available. And moreover they gave us a different room other than pool view which was reserved by us. Have never ever been to a locker 5 star hotel in my life. And that to on the occasion of my birthday. Totally spoiled my and family's mood. Most importantly my children's. Will never recommend a Itc hotel to anyone. Disappointing Passage lights in the room was not working and the bathroom light was flickering. Pool room was promised and given back view room. Room check in took us 3 and half hours after literally begging for it. Hotel was oversold. Limited staff on such a event day was the reason for delayed service.,1,1,2,1,0
The hotel was amazing and the rooms and lobbies every area of that hotel was amazing and hygienic. The staff was so humble and helpful.,2,2,2,2,2
Well as we all are aware about Hospitality of Taj. The security was tight but on the other hand the staff was so courteous and soft spoken. From special cooking by chef for dinner to breakfast I enjoyed every moment of my stay. Food was awesome. I got the Gateway I mean sea view room the views of sea and the sound of water was an amazing experience. Must stay if you are in Mumbai. one of the most premium properties of India. wah Taj,2,2,2,2,2
"It is unbeaten when it comes to service and location. The heritage, regal ambiance and home like vibe is fabulous. Sea view rooms have a spectacular view but are a tad smaller. Also, no bathtub as only Taj palace rooms have bathtubs. But despite this tower rooms have better view as It's taller. Food is great as well. Absolutely worth the hype. Best luxury hotel in Mumbai hands down. Also, the staff is kind and isn't snooty unlike most five stars. Hats off.",2,2,2,2,2
"This hotel's hospitality begins to come alive the moment you enter the premises and you are made to feel at home instantly. It is the perfect location from all the famous tourist places, along with high luxurious spacious rooms and suites,paired with creative meeting and business facilities.",1,1,2,1,1
This restaurant is average but the staff is on point. Varun the captain is always attentive and professional. I think the staff makes this bar. I would come back for a this reason alone. Not only is Varun on top his fame but most of the staff is very professional.,1,1,1,1,2
Very good Food. You can ask for not so spicy and they will do it for you. We had a Business Dinner with many people and everybody was happy. Will for sure come back again during my trip.,2,2,2,2,2
"Eating delicious good food is my favourite thing in the whole world. Nothing is more blissful and i have absolutely got the best,Yummy and delicious food from The Foodie Restaurant.. The experience was glorious..Feels like a Home Food ! Warm Inviting Hospitality and Well maintained service.. Hope to get back soon..! HIGHLY RECOMMENDED from my side...!",2,2,2,2,2
"Maybe it was because of dussehra that the service of the place was extremely poor. We had to call people a number of times for table cleaning, and ordering the food. The food was tasty. That was the only good thing about the place.",2,0,1,1,0
Our most recent visit to this hotel changed our minds! It’s undergone a renovation and is simply lovely now. The staff was courteous and friendly as well. The room was clean and well appointed. Truly a big improvement!,2,2,2,2,2
"This restaurant is located 30-40 meters away from the bus stand. However, it was not easy to locate. They have the jungle theme restaurant offering north and south Indian food. I had Andhra Thali which was served with richness and complete in all respect and not costly too. I liked this place because the place was clean, tasty food , good ambiance and served well by the staff. Would recommend for families whose looking for clean and good food around the bus station.",2,2,1,2,2
I love the ambiance. The food is amazing and this is that one place where you won't go back home disappointed. Both vegetarian and non-vegetarian food is served. I love the way they have named their items in menu.,2,1,2,1,2
Services were good. Food was average. Good enough for a budget stay. Friendly staff. Really close to all the highlights in the city. Walkable from the palace and also from the market.,1,1,2,2,2
"I went there with my family, and we all loved the facilities of this lovely place. The staff is very supportive and professional. The Food is delicious and pocket friendly. I would love to visit once again.",2,2,2,2,2
"The hotel is in a good location, but it is a very old hotel having very small rooms such that one cannot even walk in the room. We were given old bedspreads and towels in the room . The bar and the restaurant is altogether very expensive. It was not a good experience.",1,0,2,0,0
"The restaurant has a lunch buffet with north indian food. It's not high quality, but the taste is average. The big surprise came when we had to pay: Rs 480 per person. It felt like a rip off. Perhaps it was since we were western tourists. We've been at other places in Mysore with higher quality food where we paid less than Rs 200. This restaurant was highly overpriced.",1,1,1,0,1
"The hotel is good for stay as it is in the centre for all the sightseeing. The hotel offers good services, average hygiene, and the restaurant on the roof-top is amazing. Ambience is superb all together. ",1,1,2,2,2
"The blanket provided to our rooms was dirty, the old window type A/C was not working properly, the washrooms were dirty. I had made the booking for 2 people, but the hotel provided for only 2 people. Breakfast was good. But the food provided at the rooftop restaurant was overpriced, and not worth the money.",1,0,1,0,0
"The first and most important fact is that the hotel is in a good location. The hotel was very close to the bus stand, which was convenient. I am happy with staff and the facilities provided for a decent amount.",1,1,2,2,2
"I visited the restaurant after quite some time. I was happy to see that they are still maintaining the ambience, quality and price. The food and the staff was  excellent, as usual.",2,2,2,2,2
"I got bumped up into a suite- so that was great! But, it did not feel much like a suite.  The hotel staff members are very courteous and supportive. The rooms are clean, but needs improvement. Compared to other hotels, the rooms are outdated. The restaurant has a cave and jungle theme, giving a pleasant experience. The complimentary breakfast provided is very limited and mediocre.",1,1,2,1,2
The hotel was situated in a prime location which was a very big advantage as most of the places were walking distance. They had comfortable bedding. The room was neat and tidy. Breakfast was very good. Had a good stay.,2,1,2,2,2
"Overall a good hotel. The rooms are well maintain, the food is very delicious with several varieties. The hotel reception staff, manager, and restaurant staff were very cooperative.It was overall wonderful experience for our group.",2,2,1,1,2
"It was an excellent experience again. I have been here many times, yet you can compare the service here even the food taste! The restaurant staff and manager treat each guest with utmost care and hospitality. Totally worth the cost!",2,2,1,2,2
"Hotel is a bit old but location is just perfect. The rooftop restaurant is neat and clean, serving all kinds of food. The price is quite reasonable. However I am not at all satisfied with the room quality. The bathroom is too small and there were insects inside. Moreover, after a round of heavy rainfall one side of our room was filled up with water. So go for it, if location is very important for you and you are staying only for a day/night.",2,0,2,2,1
"The Hotel rooms were neat and clean, charges were reasonable and breakfast buffet was just great.",2,2,2,2,2
Very small room and tiny bathrooms. Maybe it is good for 1 person and 1-night stay. Not recommended for families. Room service was not provided even after informing the staff.,1,0,1,1,0
"Hotel room cleanliness and design was average. As per the charges, it was not up to the mark. Bathrooms were not cleaned, and the food served was cold. Overall at a similar rate, I could have booked a better hotel.",0,0,1,0,0
When we walked into the hotel we were immediately given a warm welcome which was particularly nice after travelling so far. Our room was very comfortable. The restaurant was superb. Food was very good and the choice was amazing.,2,2,1,1,2
The room was sanitised and spotless. The food was delicious as well. The staff was very helpful with assisting me in scheduling and organising the tour.,2,2,1,1,2
"Excellent service provided by the hotel staff. Especially the staff from 24/7 where we had our lunch & dinner we had excellent food with an excellent service. Me and family really liked the hotel, the rooms were well maintained with comfortable beds.",2,2,1,1,2
"Location was good, right in the prime area close to all major attraction points. Rooms were spacious enough and comfortable for the sound sleep.",1,2,2,1,2
Ambience was awesome and yes food was delicious and had a great variety which was really wow for me.,2,2,2,2,2
Personalized service that went way beyond expectations. Breakfast was delicious every morning.,2,2,1,2,2
"Very Nice & clean property, with a lavish breakfast & that too value for money",2,2,1,2,1
Room cleanliness and staff behaviour was very good. Food was delicious.,2,2,1,1,2
"Cleanliness, service, food, ambience, everything was outstanding",2,2,1,1,2
Amazing room and helpful staff. Worth visiting next time as well!,2,2,2,2,2
"Very bad experience. The walls of the rooms were very thin, and the room was not cleaned properly, even after requesting the staff and the hotel manager.",1,0,1,0,0
"Rooms, ambience, cleanliness is good but food service is not available.",0,2,1,1,1
"Convenient location, great facilities and friendly staff",1,1,2,1,2
"Great place to stay- very welcoming staff, always here to help! The rooms are amazing, very clean and spacious. Great restaurant!",1,2,1,1,2
"The restaurants, room service and food are awesome. There is enormous variety. Staff is excellent.",2,1,0,1,2
The hotel exceeded our expectations in every single way! The staff were amazing! The room was amazing!,2,2,2,2,2
Extremely courteous and prompt staff. Everyone was willing to walk that extra mile to make it a memorable experience.,2,2,1,2,2
Clean and Comfortable rooms. Professional staff. Impressive service.,1,2,1,2,2
Really loved the room. It was pretty spacious as compared to rooms of other hotels. The bathroom was pretty spacious and clean as well.,1,2,1,1,1
The hotel is beautifully located on the main street. Rooms are super clean and the staff is very well behaved.,1,2,2,0,2
"Very comfortable room. Staff was very welcoming, and made our stay really comfortable. Breakfast was great and delicious, with a lot of variety.",2,2,1,2,2
The room allocated to us was very beautiful and comfortable. The price was very reasonable and the breakfast was excellent.,2,2,1,2,1
Very well maintained hotel and rooms. Thr staff members were very friendly and courteous. We arrived earlier than expected by a few hours. Our room was prioritised and we were able to check in early free of charge. This was very helpful and appreciated as we were quite tired after a long flight.,1,2,1,2,2
"awesome location, reliable staff and comfortably big rooms",1,1,2,1,2
"Considering location, rooms, facilities, breakfast, other foods and serving staffs, this hotel is the right choice.",2,1,1,1,2
The Management and Staff were extremely friendly. efficient and proactive. The room was fabulous and we also loved the food. Our stay exceeded our expectations.,2,2,1,1,2
The hotel is located at very convenient place .,1,1,2,1,1
Liked the hospitality and cheerfulness of the staff.,1,1,1,1,2
Very well trained and friendly staff. Sparkling clean hotel. Excellent food and room service is quick.,2,2,1,1,2
Very nice Hotel. Cooperative staff. Perfect ambience.,1,2,1,1,2
"Ambience, Staff, Food, Hospitality everything was perfect!",2,1,2,1,2
"Very efficient staff. Room service was prompt with good quality food. Bed was comfortable. Overall, a positive experience.",2,2,2,2,2
Easy check-in and checkout. Value for money. Friendly staff. Proximity to places of interest.,0,1,2,2,2
Room cleanliness and staff behaviour was very good. Food was delicious. Amazing location,2,2,2,2,2
Beautiful big clean hotel. Very friendly and accommodating staff.,1,2,1,1,2
It's my first visit to this hotel. The hotel was good and timely service. Good food quality but It's quantity needs improvement as per the cost.,2,2,1,1,2
"The stay was good. The hotel ambience is very good altogether. Room service is also fine. The food was very good and delcious, rooms were clean, and everything was well organized . The hotel staff is very polite and friendly. ",2,2,2,2,2
"The rooms were clean, very comfortable. They went over and beyond to help make our stay enjoyable. I would highly recommend staying at this hotel .",1,2,1,2,2
"I loved the care and facilities given by the Hotel staff, with every one wearing a mask and gloves and sanitizer available at each door steps and each floor. Also room was sanitize before check In and perfectly cleaned. I feel very safe during my stay.",1,2,1,1,2
"I had a wonderful experience. Every staff member I encountered, from the valet to the check- in to the cleaning staff were delightful and eager to help! ",2,2,1,2,2
"The best hotel I have ever been privileged enough to stay at. Gorgeous building, and it only gets more breathtaking when you walk in. High quality rooms (there was even a tv by the shower), and high quality service. Also, they are one of few hotels that allow people under 21 to book a reservation.",2,2,2,2,2
"Overall, I had a great experience with the hotel. The staff was incredibly helpful, and the amenities were great. The room was wonderful, clean, and perfect.",1,2,2,2,2
The staff was the nicest staff I have ever encountered at a hotel. They were always friendly and asked how our stay was going every time we walked in the door. The atmosphere and service were great. ,2,2,2,1,2
"The hotel exceeded my expectations. The rooms were spotless, the staff was amazing and they had the most comfortable bed.",2,2,2,2,2
"We are lucky to have chosen four points by sheraton hotel for our 6 days stay in jaipur. Convenient location, very spacious rooms and apartments well equipped with all modern facilities. Very professional and hard-working manager of the hotel who does his best to satisfy the needs of the guests. Sheraton hotel meets the highest standards of the best hotels in jaipur city. The rooms are air-conditioned and you can regulate the temperature, when it is warm outside you can maintain a very pleasant cold temperature in the room. Beds are comfortable. The hotel offers breakfast (very tasty and varied, and also gluten-free on request) service of a porter, cleaning every day, elevator/lift, and a special taxi service at a reduced price. The staff is very friendly and nice, and speak good english. It's food quality is awesome. It is a perfect place to stay for everyone.",2,2,2,2,2
"It’s a nice property, more of a 4 star than a 5 star. Staffs are courteous and polite. They allowed us late check out at 3 pm. We received complimentary high tea from the gm of the hotel. There is a big bazaar in the same building. Just opposite to the resort there is a vegetarian restaurant with a good variety of food. The hotel is very busy mainly because of the proximity to the airport. While checking out we saw the thorough cleaning being carried out at the public areas of the hotel which was quite reassuring especially during this pandemic time.",2,2,2,2,2
I just find it good that the manager was saying to put on mask while taking food from buffet nd when you eat remove the mask 😷. overall it was normal sanitizer were kept near lift and hotel entrance and temperature check was done at entrance.all the hotel staff were wearing mask. and rest everything was normal.,1,2,2,2,2
"The hotel followed decent safety standards with sanitizers at the hotel entrance and dining area entrance. In the dining area, the hotel staff provided face masks, in case someone forgot them in their rooms.",1,2,2,2,2
Room was big and clean but bathroom was small. Breakfast was good with different varieties in food and fruits,2,1,2,1,2
good service and facilities.,1,2,1,2,2
Bad property manager is friendly by receptionist is very bad,1,0,1,1,0
Early check in was allowed. Good,1,1,1,2,2
Good property to stay but the front look is not satisfactory,2,2,1,1,2
It's was nice staying here all were good,2,2,2,2,2
Breakfast good but dinner not upto the mark. Lacking variety and taste,0,1,2,1,1
The housekeeping staff were helpful and friendly,2,2,2,2,2
Good property value for money,1,1,1,2,2
"We visited with family and food was good, room are decent size, took lot of time get room. Hotel location is ok,",1,2,0,1,1
"It’s a nice property, more of a 4 star than a 5 star. Staffs are courteous and polite. They allowed us late check out at 3 pm. We received complimentary high tea from the gm of the hotel. There is a big bazaar in the same building. Just opposite to the resort there is a vegetarian restaurant with a good variety of food. The hotel is very busy mainly because of the proximity to the airport. While checking out we saw the thorough cleaning being carried out at the public areas of the hotel which was quite reassuring especially during this pandemic time.",1,2,2,2,2
"The location is good. There was variety in the food, and the price was reasonable",2,1,2,2,1
two wheeler parking is very bad.,2,0,2,1,1
"Hotel don't reflect marriott but staff, hygiene and food are good",1,2,1,1,1
Nice hotel with well equipped rooms. Good breakfast. Friendly staff with attentiveness to your queries.,2,2,2,1,2
Hotel cleanliness was fantastic. Staff behaviour was very good. But according to price cost is very high otherwise fantastic,1,2,2,0,2
Very homely and pleasant stay. Staff are excellent,1,2,2,2,2
I wouldn't want to blame the whole staff but one of the member had a different attitude while speaking to us. Wasn't really happy with the f&b service too.,2,1,2,1,0
"Food is good, location super, safety standards ok. Overhaul stay was comfortable",1,0,2,1,1
It was a very comfortable stay,1,2,2,2,2
Loved the breakfast & ambience,2,2,2,2,2
Not good at all.,0,0,1,0,0
Staff was courteous following all safety protocols and food was good,1,2,2,2,2
"It was my first stay with sheraton and i found it much more than my expectations. Food variety, quality and quantity was unbeatable in all sense.",2,2,2,2,2
"Awesome food, safest place, just loved it worth it",2,2,2,2,2
"The rooms are very spacious, the housekeeping staff is very mannered and especially we were impressed with mr. Deepak singh assistant manager who was very very caring and always wanting to help us. He is an asset to the management as he knows how to understand the client. We wish him bright future.",1,2,2,2,2
"good Location, food, hygiene & safety standards.",2,2,2,2,2
It was good but there has been communication gaps as they don't make clear their chargeable items clear like mini bar etc. They keep ambiguous situation n until u ask them they would not set the expectations clear.,1,2,2,1,1
It was a pleasant stay with a beautiful ambience. Food was good too.,1,2,2,2,2
A good centrally located property with value for money,1,2,2,2,2
"This hotel should not even considered for 2 star rating. Such dirty bathroom with smell. Kettle in the room is so dirty. Water bottles in the room are sealed open. Room's phone is defective. Staff is so rude and unhelpful they didn't meet our expectations. Service is poor, we got our luggage in the room in after 20 mins that too same person who did our check in came up with the bags.",0,0,0,0,0
"Property is average and room service is very poor, overall experience is not good",1,1,1,0,0
"Services at hotel is too.poor, staff was not trained and had no.knowledge.provided wrong details all the time that ruined our experience ,facilities like pool that were promised was not available,😡 never going.",1,0,1,0,0
"I had to go to jaipur in october 2020 and i chose to stay at this hotel. At that time, the covid cases were on the rise and still, there were no temperature checks for the guests. Half the staff were attending to guests with their masks down. Also, the front desk personnel were very unprofessional while dealing with the guests. Most of the guests were made to wait for at least an hour for check-in and to add to it, the front desk guy was very rude.",1,0,1,0,0
"Excellent location, great view. Service lacking, limited food choices",0,0,2,1,0
The entire staff is so warm and welcoming. Food is amazing. View from the room is lovely.,2,2,2,2,2
Well maintained hotel with courteous staff and amazing rooms,2,2,2,2,2
"This is not just hotel, It's like heaven in this property, we enjoyed food extremely superb maintenance, good staff 5, entire property of this hotel is excellent, well maintained by hilton, i give 7 star's to this hotel.",2,2,2,2,2
Property is located in golf links which is good. Rooms are nice and spacious too. Mid night food menu needs drastic improvement. Having only sandwiches and burger in menu is a shame. They don't even keep coke in the night menu. These are the things that can easily be fixed. Otherwise a good place to stay at.,0,1,1,2,2
"The property is located in prime location it’s easily accessible to city, the hotel follows strict hygiene & safety standards",1,2,2,1,2
It was really a good experience,2,2,2,2,2
"Good location, food is very good, they maintain hygiene and safety",2,2,1,2,2
"Very good hygiene standards, felt safe.",2,2,2,2,2
We had the worst experience staying at Hilton. There was maintenance drilling work going on as early as 4 in the morning and continued till 8 even after repeated calls. All that we got back was an apology. Maintenance work shouldn't happen this early and disturb occupants who are sleeping. People choose places like Hilton to have a relaxed stay. We were disappointed to the core,1,0,1,0,0
Good stay,1,1,1,1,1
Ok but not bad last time it was nice but this time It's average,1,1,1,1,1
Food quality better than others.,1,1,1,1,1
The staff is really slow. The room service is ridiculously priced and doesn't compare to any other 5 stars. Each item is priced at more than 3 times the cost. Overall not a great experience,1,1,1,0,0
Hotel was good with poor services.,1,0,1,0,0
Very courteous staff and nice food.,1,2,1,1,2
Polite and friendly staff. Great services! Prompt help.,1,2,2,1,2
"I was charged on the basis of per 30ML even after ordering for the whole bottle and the same was not informed by the hotel staff. I was charged for a bottle of Glenlivet 12, which was way too exorbitant. felt a little cheated. The rest was great about the Hotel. The staff were helpful courteous. The room was excellent.",1,2,1,0,1
Was good overall. Like the place.,1,2,1,2,1
"Good location, food is very good, they maintain hygiene and safety",2,2,1,1,2
This is a good hotel in case you are looking for budgeted hotel with a better hygiene and food standard. Property is managed by lemon tree so staff is trained and hygiene standards are up to mark. Though room size is quite small but still manageable for a short stay.,2,2,1,1,2
"Untrained staff, no Covid measures taken overall a terrible experience",1,0,1,0,0
The property is good but the service is just so low,0,0,2,0,0
"In short it was good whereas we have already booked the club room via mmt, and when we reach the property they simply said they have no club room left and shifted us to a family room, the executive was very nice she helped us to get the family room.",1,1,1,1,1
"At first, they delayed our check-in by 1 hour, food served is pathetic, 
have to call room service constantly, delivery time is too long, no 
proper response from reception.",0,0,0,0,0
"Very nice place, little far away from city but everything was good and food was delicious",2,2,0,2,2
"Luxurious bedrooms, quiet rooms and helpful staff. The hotel actively encourages you to use the room service menus, and the prices are the same as the restaurant so very convenient. Room was clean and silent, and the staff was attentive. Fairly clean. Comfortable bed and linen. Quiet from roadside noise. Bathroom was large and well-appointed, with a rain shower, hand-shower and bath-tub. I had paid for airport pickup and the staff and driver (sudhir) who received me at the airport were very courteous and helpful. Very smooth transfer. Most of the staff i encountered right from those at the hotel gates, were courteous, friendly and helpful. Good location within 10 minutes' drive from the international airport.",2,2,2,2,2
"We had a marvelous stay in delhi at the trans international hotel. Wonderful interiors, very good service and some excellent dining too, trans international this name as this is the best hotel in mahipalpur! prices are excellent, i have stayed with my wife for a weekend and honestly i am so happy we found this place. I will start by checking in in the lobby & giving us our room keys! all with the help of a very nice, friendly and professional manager who was great at the entrance. We felt special from the beginning to the end. Beautiful lobby - surly can make you feel like you're home. The room was lovely, super clean with the most comfortable bed i have ever slept on! and om g love the pillows) bathroom with shower very clean. Reception was very helpful, so we had a great night out as well. After we came back - It's really like they thought of everything to please your stay! we tried food room service as well and in 20 min was delivered to our room! so happy with our stay that actually was sad to leave! there and will recommend this piece of heaven near airport delhi to everyone) thank you!",2,2,2,2,2
"Great hotel in an excellent location with outstanding staff. This is my first stay here, and i must say it was overwhelming. Staff - courteous, polite, sophisticated and always smiling. Housekeeping - splendid, the extra touches of towel art is appreciated. Check in / out- quick and smooth. Breakfast - excellent, varied spread in both hot and cold section, quality food and very attentive staff; special mention for the bakery items. Room - extremely comfortable mattress, amazing bathroom, good quality toiletries. A big thumbs up to the property and the wonderful management. Great experience. Very well maintained hotel, nice facilities.",2,2,2,2,2
"I come here often for business. They offer a very comfortable stay at a price that fits in my budget. The location is very good since it is near to airport, hence transportation is not a problem. Food is delicious. Recommended to all. I stayed there for 3 days, It's safe, at a very peaceful place, 4 km from the airport, transportation available easily. The food was awesome and tasty. The rooms are neat, clean, tidy. Room service is very good, staff is polite and helpful. What else you want. Give it a try if u r in delhi.",2,2,2,2,2
Comfortable room with adequate amenities. Service was good despite a large number of guests. Breakfast was excellent. Best in facilities.,2,1,1,1,2
"Room was neat and clean. And also the staff are very polite and well behaved. Very good location near the airport, safe for family and couples.",1,2,2,1,2
This hotel is in a very good location near new delhi airport. The hotel room is clean and beautiful all over good stay. A good hotel. Staff also good. Value for money.,2,2,2,2,2
"As always the hotel is an excellent place to spend some days with family, the facilities are amazing and the food is one of the best things that this hotel has. Services and facilities were superb.",2,1,2,2,2
Nice stay. Suggest u to initiative for stay. Nice stay.,2,2,2,2,2
The hotel had a good variety in food and had taken adequate measures of cleanliness and hygiene at the rooms during our stay.,1,1,1,1,1
"I stayed for 2 days in novotel as It's resort and spa but very small rooms, can't imagine date rooms without gallery in 5 star resort, poor ac, poor food quality and very less options in breakfast, old furniture in rooms, very big turn off",0,1,1,0,1
The staff at the front desk was rude. Loud sound of exhaust in the room. Work happening in the next room in the afternoon too much noise. Did not expect this from a brand like Novotel. Had a terrible experience while talking to a Mr. Pankaj at the front desk. Staff at the property very snooty.,1,1,0,0,0
The staff was a bit lost due to the property being fully occupied. Not sufficiently good service.,1,1,1,1,1
Novotel hotel is very good to stay for family and couple. Located near market,2,2,2,2,2
"Only Food quality good, but this superior room ambiance is average and woodwork quality bad in condition. Lot of maintenance works outside so can't use Play areas.",2,1,1,0,1
Money wasted. Not worth it. Don't know how Novotel is in 5 star hotel category.,0,0,0,0,0
"Stay was good however no balcony rooms were given. For a 5 star hotel, fridge was empty. No snacks at room.",1,1,1,0,1
Worth every penny. Awesome experience.,2,2,2,2,2
The room has no sunlight therefore dark n dampy. Bed is queen though the booking was done with 3 guests and we were told the bed is king size. The pool was small and not maintained. Overall not satisfactory.,1,1,1,0,1
The holiday had been fabulous.,2,2,2,2,2
"The property is Worth every penny, from rooms to service to breakfast everything is just perfect.",2,2,2,2,2
Had a pleasant experience and stay. Breakfast and food overall was good. Service was excellent,1,1,1,1,2
Awesome stay. Best hotel till now.,2,2,2,2,2
"We booked Novotel Resort and Spa for a family holiday thinking it is a 5-star property but it is not a 5-star, it is like a 3-star property. We were highly disappointed.",0,0,0,0,0
"Stay at Novotel was amazing, they upgraded our room and hospitality was amazing.",1,2,1,2,2
A very well maintained property near to beach. It takes around 10/15 minutes of walk to the Candolim beach. Enjoyed thoroughly.,1,2,2,2,1
"Good hotel, cooperative staff, best location in Panjim.",1,1,2,1,2
We had a great stay at the Novotel Goa. Courteous staff with excellent service. Novotel Resort and Spa is very nice property to stay with friends and family.,1,2,1,1,2
Very friendly staff and good place to sit and relax from busy life.,1,2,2,1,2
I felt my stay quite quaint and carefree. I chose Novotel because I once stayed at Novotel at Batam in Indonesia. Food quality is impressive. Cleanliness is top class. Courtesy displayed by the staff members was remarkable. I wish Novotel had an in-house pub with music and dance floor. Happy days!,2,2,1,1,2
"Rooms need maintenance. My room deluxe had a rusted balcony rod that can break on pressure. Plus mosquito menace in a 5-star hotel. On request, they changed the room. First time I saw that the doorbell has been made defunct for preventing disturbing adjacent rooms. I never had this experience anywhere. Overall good staff, nice breakfast spread, good ambience, at this cost of stay you can opt for other reasonable hotels as no hotel in North Goa is on the beach.",2,0,1,2,2
Amazing hotel with nice environment. Good food and nice rooms,2,2,1,1,2
"Absolute waste of money to stay, no buffet, no standards, It's just like a Road Side hotel",0,0,1,0,0
"I feel rooms were without proper electric plugs and no room bell working, breakfast was average and in room dining was horrible",1,0,1,0,0
"The hospitality is amazing, the rooms are great and the location is perfect.",1,2,2,1,2
I was traveling with my wife and 3 year old. We basically extended our stay by booking through MMT however unfortunately the AC went of in the middle of the night. We complained at the main desk and they sent the technician immediately instead of resolving the issue he was arguing with us about some technical error. When complained to Mr. Namit Shetty in the morning he gave us a cold response saying he will look into the matter and would not allocate the room to any guest. We were being asked very rudely to check out saying that you need to check out as It's 12 pm already. Breakfast spread was really great otherwise the overall experience was really good except for what happened.,2,0,1,1,0
Visiting the hotel for the third time. Amazing service and hospitality. Highly recommended for families.,2,2,2,2,2
"Firstly the hotel claims to be a Resort but I found it more like a small hotel, secondly the staff's behavior specially front desk was terrible, namely Mr. Pankaj from the front desk I would like to describe the reason too at night about 12:30 we asked for a cab they kept us waiting more than 1 hour then a cab arrived they were charging extra we agreed as soon as we board the cab after 500 mt the driver dropped us said It's been informed by the hotel to drop wheresoever within 500 mt. When we asked about front desk manager they said he's not available then we asked for their GM again nobody was available. Candolim Beach is quite far as they say within 4 minutes it wasn't Baga Beach about 20 minutes, food was good, the room and the features were fair, but basis of staffs and their terrible behavior I would rate this hotel 1 if you want to have relaxing memorable stay in Goa make sure don't land up in Novotel Candolim",1,1,0,1,0
I don't recommend any person to go this hotel.,0,0,0,0,0
Average stay.power supply every 1 hour 3 - 4 time coming and going.My 4 night stay in this hotel very bad experience.,1,1,1,0,0
"3 star property charging 5 star rates.This is a 3 star property charging 5 star rates. The room had a smell so I got the blanket changed. Swimming pool was not ready even at 11:30 in morning for use. I left valuable behind and they couriered it through some obscure agency, who did not deliver it even in 7 days. Hotel was not at all proactive and didn't co-ordinate or co-operate at all. I had to go myself to the courier center to collect it.",1,1,1,0,0
"I ordered some veg food and instead of that they served me non-veg food, when I tried than I realized it was non veg, I complained about to them but they were just saying sorry it is totally against my religion to eat non veg so get me back on this regarding same, otherwise i can for some legal formalities regards rave petal.",0,1,1,0,0
Uncomfortable pillows. Room full of smell and nobody came with room freshener after repeated reminders. Rooms had a very bad smell and after repeated reminders no one came with air freshener. They never picked up their phones in one go. Pillows were uncomfortable. Overall not worth the money.,1,0,1,0,0
Service was poor. Never expected that much of poor service in a 5*. 3 or 4 star hotel would provide you a better service. Food was not too good. This property is not near to a beach. And rooms were just OK. Gym is too small. Staff don't even feel to answer you,0,1,0,1,0
Safety at dining area could have been better,1,0,1,1,1
The hotel had a good variety in food and had taken adequate measures of cleanliness and hygiene at the rooms during our stay,1,2,1,2,1
Room & location was good but room service was a very poor. We stay in resort for 4 days but our rooms cleaning was done only one day. We are request to and hospitality contact But they are ignore it.,1,2,2,1,0
